part,alpha,weight_balancing,model,split,dice,hausdorff
1,1.2,,MR_composite_at_CHAOS,test,0.09589239669684499,24.01055145263672
1,1.2,,MR_composite_at_MMWHS,train,0.22621897710881697,16.07947540283203
1,1.2,,MR_composite_at_MMWHS,val,0.19869235474310484,16.160865783691406
1,1.2,,MR_composite_at_MMWHS,test,0.21809151255860484,16.09437370300293
2,0.8,False,CHAOS_CT_adaptation,train,0.0002010058058633481,42.409278869628906
2,0.8,True,CHAOS_CT_adaptation,train,0.07510422353915265,36.29213333129883
2,0.8,False,CHAOS_CT_adaptation,val,0.000926554647420955,42.07830047607422
2,0.8,True,CHAOS_CT_adaptation,val,0.07314858518021362,36.31386947631836
2,0.8,False,CHAOS_CT_adaptation,test,0.00036147306807887166,41.59064865112305
2,0.8,True,CHAOS_CT_adaptation,test,0.07528229849204347,36.34423828125
2,0.8,False,CHAOS_MR_adaptation,train,0.00019172292262974473,82.83280181884766
2,0.8,True,CHAOS_MR_adaptation,train,0.0,nan
2,0.8,False,CHAOS_MR_adaptation,val,0.0,83.03788757324219
2,0.8,True,CHAOS_MR_adaptation,val,0.0,nan
2,0.8,False,CHAOS_MR_adaptation,test,0.00018224420723766689,82.89986419677734
2,0.8,True,CHAOS_MR_adaptation,test,0.0,nan
2,0.8,False,MMWHS_CT_adaptation,train,0.04604344654794258,33.457557678222656
2,0.8,True,MMWHS_CT_adaptation,train,0.04404856224215713,33.64548873901367
2,0.8,False,MMWHS_CT_adaptation,val,0.04933611811859907,33.239166259765625
2,0.8,True,MMWHS_CT_adaptation,val,0.04816697142036446,33.52709197998047
2,0.8,False,MMWHS_CT_adaptation,test,0.04572308212370615,33.18691635131836
2,0.8,True,MMWHS_CT_adaptation,test,0.04352974814359127,33.636775970458984
2,0.8,False,MMWHS_MR_adaptation,train,0.02818246991030963,32.00376892089844
2,0.8,True,MMWHS_MR_adaptation,train,0.027425270292980454,29.57664680480957
2,0.8,False,MMWHS_MR_adaptation,val,0.02478586913514966,32.139366149902344
2,0.8,True,MMWHS_MR_adaptation,val,0.03031228350746078,29.57942771911621
2,0.8,False,MMWHS_MR_adaptation,test,0.02997317371235811,32.14424514770508
2,0.8,True,MMWHS_MR_adaptation,test,0.028298202746133354,29.647493362426758
2,1.0,False,CHAOS_CT_adaptation,train,0.0015160851699085097,41.983306884765625
2,1.0,True,CHAOS_CT_adaptation,train,0.07820294527947422,36.79094314575195
2,1.0,False,CHAOS_CT_adaptation,val,0.0032618235448466067,41.8972282409668
2,1.0,True,CHAOS_CT_adaptation,val,0.07170963630410866,36.81718826293945
2,1.0,False,CHAOS_CT_adaptation,test,0.0021106529343938255,41.59870910644531
2,1.0,True,CHAOS_CT_adaptation,test,0.073893044246669,37.05241012573242
2,1.0,False,CHAOS_MR_adaptation,train,0.0010830518358255748,81.0936508178711
2,1.0,True,CHAOS_MR_adaptation,train,1.6907599966184084e-05,68.04290771484375
2,1.0,False,CHAOS_MR_adaptation,val,0.0007929941632278927,80.62353515625
